record_id,language,human_ground_truth,model_label,mapped_mood,model_confidence,latency_ms,error_type,text
EN-AMBIG-004,EN,DISTRESSED,POSITIVE,CALM,0.525143563747406,21.000300002924632,distressed_to_positive,There are three more scans scheduled before delivery.
EN-AMBIG-T04,EN,DISTRESSED,POSITIVE,CALM,0.5127280354499817,31.783999998879157,distressed_to_positive,There's too much conflicting information out there and it's honestly starting to overwhelm me.
EN-ANXIETY-002,EN,DISTRESSED,POSITIVE,CALM,0.5463643074035645,29.782700003124774,distressed_to_positive,Every little twinge makes me panic that something's wrong with the baby.
EN-ANXIETY-004,EN,DISTRESSED,POSITIVE,CALM,0.5652162432670593,24.795299999823328,distressed_to_positive,I get really nervous whenever I haven't felt the baby move in a while.
EN-ANXIETY-010,EN,DISTRESSED,POSITIVE,CALM,0.5737367868423462,19.212300001527183,distressed_to_positive,I worry a lot about whether I'll be a good mother.
EN-APPT-003,EN,DISTRESSED,POSITIVE,CALM,0.5014670491218567,23.45390000118641,distressed_to_positive,The clinic rescheduled my appointment again and it's frustrating.
EN-APPT-005,EN,DISTRESSED,POSITIVE,CALM,0.5298089385032654,27.586299998802133,distressed_to_positive,"My appointment went well today, the doctor said everything looks good."
EN-APPT-010,EN,DISTRESSED,POSITIVE,CALM,0.5209442377090454,22.239499994611837,distressed_to_positive,I dread every appointment because I'm always scared of bad news.
EN-DISCOMFORT-005,EN,DISTRESSED,POSITIVE,CALM,0.577054500579834,20.33170000504469,distressed_to_positive,The heat this week has made the swelling so much worse.
EN-FEAR-010,EN,DISTRESSED,POSITIVE,CALM,0.5650745630264282,26.068099999974947,distressed_to_positive,I'm scared of needles and the thought of the next blood test is stressing me out.
EN-FETAL-003,EN,DISTRESSED,POSITIVE,CALM,0.5121626257896423,28.483399997639932,distressed_to_positive,I keep counting kicks obsessively because I'm scared something's off.
EN-FETAL-005,EN,DISTRESSED,POSITIVE,CALM,0.5430298447608948,26.61880000232486,distressed_to_positive,I'm concerned my blood pressure readings have been a bit high lately.
EN-REASSURE-005,EN,DISTRESSED,POSITIVE,CALM,0.5551666021347046,28.15209999971557,distressed_to_positive,Talking to other mothers about this made me feel much less alone with my worries.
EN-REASSURE-T04,EN,DISTRESSED,POSITIVE,CALM,0.5370612144470215,33.58329999900889,distressed_to_positive,"Everyone keeps telling me not to worry, but their reassurance isn't really helping right now."
EN-ROUTINE-003,EN,DISTRESSED,POSITIVE,CALM,0.5496618151664734,22.01989999593934,distressed_to_positive,How much water should I be drinking each day now?
EN-SADNESS-006,EN,DISTRESSED,POSITIVE,CALM,0.5734336972236633,25.102899999183137,distressed_to_positive,I feel a bit sad that my partner can't be at every appointment with me.
EN-SADNESS-009,EN,DISTRESSED,POSITIVE,CALM,0.5626280903816223,25.50509999855421,distressed_to_positive,I get teary thinking about how much my body has changed.
EN-SADNESS-010,EN,DISTRESSED,POSITIVE,CALM,0.5494811534881592,27.283700001135003,distressed_to_positive,I feel sad that this pregnancy hasn't been the joyful experience people told me it would be.
EN-SYMPTOM-010,EN,DISTRESSED,POSITIVE,CALM,0.5466148257255554,29.223199999250937,distressed_to_positive,"I had some cramping but the doctor said it's completely normal, so I feel better now."
EN-UNCERT-007,EN,DISTRESSED,POSITIVE,CALM,0.5468834042549133,28.67980000155512,distressed_to_positive,I keep going back and forth on whether this is something serious.
EN-AMBIG-005,EN,NEUTRAL,POSITIVE,CALM,0.5621776580810547,24.87999999721069,neutral_to_positive,The parking at the clinic can get busy on weekday mornings.
EN-AMBIG-010,EN,NEUTRAL,POSITIVE,CALM,0.5779010653495789,27.5989000001573,neutral_to_positive,"I'm not sure if I'm more excited or anxious at this point, honestly both."
EN-APPT-002,EN,NEUTRAL,POSITIVE,CALM,0.5681683421134949,16.810000000987202,neutral_to_positive,I have my glucose test coming up next week.
EN-APPT-007,EN,NEUTRAL,POSITIVE,CALM,0.5585516691207886,23.55810000153724,neutral_to_positive,I have to switch clinics because of my new insurance.
EN-DISCOMFORT-002,EN,NEUTRAL,POSITIVE,CALM,0.5094484090805054,26.477999999769963,neutral_to_positive,Sitting for long periods has become really uncomfortable now.
EN-DISCOMFORT-007,EN,NEUTRAL,POSITIVE,CALM,0.5584620237350464,20.475099998293445,neutral_to_positive,My rib area feels tight and sore in the evenings.
EN-DISCOMFORT-010,EN,NEUTRAL,POSITIVE,CALM,0.551651656627655,24.290300003485758,neutral_to_positive,"It's uncomfortable, but I know it's just part of this stage."
EN-FEAR-001,EN,NEUTRAL,POSITIVE,CALM,0.5423213839530945,23.43510000355309,neutral_to_positive,I'm honestly scared something might be wrong with the baby.
EN-FEAR-T02,EN,NEUTRAL,POSITIVE,CALM,0.515073299407959,42.692300005001016,neutral_to_positive,"The prenatal class covered common fears people have about delivery, just as general information."
EN-FETAL-008,EN,NEUTRAL,POSITIVE,CALM,0.5076097846031189,28.96969999710564,neutral_to_positive,"The heartbeat sounded strong and steady at today's appointment, which was reassuring."
EN-POSITIVE-004,EN,NEUTRAL,POSITIVE,CALM,0.52716064453125,24.447800002235454,neutral_to_positive,This has honestly been such a beautiful experience so far.
EN-POSITIVE-006,EN,NEUTRAL,POSITIVE,CALM,0.5493167042732239,27.50940000260016,neutral_to_positive,I feel genuinely happy and excited every time I think about meeting the baby.
EN-POSITIVE-T01,EN,NEUTRAL,POSITIVE,CALM,0.5285731554031372,27.786300001025666,neutral_to_positive,We're planning to announce the pregnancy at the family gathering next month.
EN-ROUTINE-004,EN,NEUTRAL,POSITIVE,CALM,0.5727279782295227,19.572999997762963,neutral_to_positive,Can I dye my hair while I'm pregnant?
EN-ROUTINE-005,EN,NEUTRAL,POSITIVE,CALM,0.5551936626434326,23.988999993889596,neutral_to_positive,What's a normal amount of weight gain by month five?
EN-ROUTINE-010,EN,NEUTRAL,POSITIVE,CALM,0.5795711874961853,17.44499999767868,neutral_to_positive,Can I still fly for a short trip next month?
EN-ROUTINE-T01,EN,NEUTRAL,POSITIVE,CALM,0.5452473163604736,50.45629999949597,neutral_to_positive,"I need to know right now if it's safe that I took a painkiller yesterday without checking first, I'm really worried I did something wrong."
