record_id,max_abs_prob_diff,argmax_http,argmax_inprocess,argmax_agree
SI-AMBIG-010,0.0,2,2,True
SI-ANXIETY-001,0.0,2,2,True
SI-ANXIETY-004,0.0,2,2,True
SI-ANXIETY-006,0.0,2,2,True
SI-APPT-009,0.0,2,2,True
SI-APPT-010,0.0,2,2,True
SI-DISCOMFORT-002,0.0,1,1,True
SI-DISCOMFORT-005,0.0,1,1,True
SI-FEAR-T01,0.0,2,2,True
SI-FETAL-009,0.0,2,2,True
SI-POSITIVE-002,0.0,2,2,True
SI-POSITIVE-005,0.0,2,2,True
SI-POSITIVE-008,0.0,2,2,True
SI-POSITIVE-T01,0.0,2,2,True
SI-POSITIVE-T02,0.0,1,1,True
SI-REASSURE-006,0.0,2,2,True
SI-REASSURE-T04,0.0,2,2,True
SI-ROUTINE-007,0.0,1,1,True
SI-ROUTINE-T04,0.0,2,2,True
SI-SADNESS-004,0.0,2,2,True
SI-SADNESS-007,0.0,0,0,True
SI-SADNESS-009,0.0,2,2,True
SI-SADNESS-010,0.0,2,2,True
SI-SYMPTOM-002,0.0,1,1,True
SI-SYMPTOM-005,0.0,2,2,True
SI-SYMPTOM-006,0.0,1,1,True
SI_NEW_V21_0001,0.0,1,1,True
SI_NEW_V21_0002,0.0,1,1,True
SI_NEW_V21_0003,0.0,1,1,True
SI_NEW_V21_0004,0.0,0,0,True
SI_NEW_V21_0007,0.0,1,1,True
SI_NEW_V21_0008,0.0,1,1,True
SI_NEW_V21_0010,0.0,1,1,True
SI_NEW_V21_0012,0.0,1,1,True
SI_NEW_V21_0015,0.0,1,1,True
SI_NEW_V21_0018,0.0,1,1,True
SI_NEW_V21_0019,0.0,1,1,True
SI_NEW_V21_0022,0.0,0,0,True
SI_NEW_V21_0028,0.0,1,1,True
SI_NEW_V21_0034,0.0,1,1,True
SI_NEW_V21_0036,0.0,1,1,True
SI_NEW_V21_0039,0.0,0,0,True
SI_NEW_V21_0041,0.0,1,1,True
SI_NEW_V21_0045,0.0,1,1,True
SI_NEW_V21_0058,0.0,1,1,True
SI_NEW_V21_0066,0.0,0,0,True
SI_NEW_V21_0069,0.0,0,0,True
SI_NEW_V21_0074,0.0,1,1,True
SI_NEW_V21_0091,0.0,1,1,True
SI_NEW_V21_0093,0.0,1,1,True
SI_NEW_V21_0094,0.0,1,1,True
SI_NEW_V21_0102,0.0,1,1,True
SI_NEW_V21_0105,0.0,1,1,True
SI_NEW_V21_0107,0.0,0,0,True
SI_NEW_V21_0118,0.0,1,1,True
SI_NEW_V21_0133,0.0,1,1,True
SI_NEW_V21_0136,0.0,0,0,True
SI_NEW_V21_0138,0.0,1,1,True
SI_NEW_V21_0142,0.0,0,0,True
SI_NEW_V21_0143,0.0,0,0,True
SI_NEW_V21_0157,0.0,1,1,True
SI_NEW_V21_0158,0.0,1,1,True
SI_NEW_V21_0164,0.0,1,1,True
SI_NEW_V21_0174,0.0,0,0,True
SI_NEW_V21_0176,0.0,1,1,True
SI_NEW_V21_0177,0.0,0,0,True
SI_NEW_V21_0188,0.0,1,1,True
SI_NEW_V21_0196,0.0,0,0,True
SI_NEW_V21_0216,0.0,1,1,True
SI_NEW_V21_0224,0.0,1,1,True
SI_NEW_V21_0225,0.0,1,1,True
SI_NEW_V21_0229,0.0,1,1,True
SI_NEW_V21_0232,0.0,1,1,True
SI_NEW_V21_0235,0.0,1,1,True
SI_NEW_V21_0238,0.0,1,1,True
SI_NEW_V21_0239,0.0,1,1,True
