# The fusion parameters used here are PLACEHOLDERS FOR TESTING, not measured values. W_face, W_text and all thresholds remain [FUTURE-EXPERIMENTAL] pending the Phase 7 experiment.
# Fusion was NOT validated. No dataset pairs a face image and a Sinhala message from the same person at the same moment with a ground-truth mood label, so no accuracy, macro-F1, or confusion matrix for fusion exists or is reported. F13 is a weight-sensitivity sweep on SYNTHETIC evidence, not a validation.
# Evidence vectors below are SYNTHETIC, hand-constructed, not from FER-2013 or Dev-v2.
pair,W_face,W_text,face_scores,text_scores,fused_calm,fused_neutral,fused_distressed,fused_state,fused_confidence
agree_distressed,0.0,1.0,0.10|0.20|0.70,0.15|0.15|0.70,0.15,0.15,0.7,distressed,0.7
agree_distressed,0.05,0.95,0.10|0.20|0.70,0.15|0.15|0.70,0.1475,0.1525,0.7,distressed,0.7
agree_distressed,0.1,0.9,0.10|0.20|0.70,0.15|0.15|0.70,0.145,0.155,0.7,distressed,0.7
agree_distressed,0.15,0.85,0.10|0.20|0.70,0.15|0.15|0.70,0.1425,0.1575,0.7,distressed,0.7
agree_distressed,0.2,0.8,0.10|0.20|0.70,0.15|0.15|0.70,0.14,0.16,0.7,distressed,0.7
agree_distressed,0.25,0.75,0.10|0.20|0.70,0.15|0.15|0.70,0.1375,0.1625,0.7,distressed,0.7
agree_distressed,0.3,0.7,0.10|0.20|0.70,0.15|0.15|0.70,0.135,0.165,0.7,distressed,0.7
agree_distressed,0.35,0.65,0.10|0.20|0.70,0.15|0.15|0.70,0.1325,0.1675,0.7,distressed,0.7
agree_distressed,0.4,0.6,0.10|0.20|0.70,0.15|0.15|0.70,0.13,0.17,0.7,distressed,0.7
agree_distressed,0.45,0.55,0.10|0.20|0.70,0.15|0.15|0.70,0.1275,0.1725,0.7,distressed,0.7
agree_distressed,0.5,0.5,0.10|0.20|0.70,0.15|0.15|0.70,0.125,0.175,0.7,distressed,0.7
agree_distressed,0.55,0.45,0.10|0.20|0.70,0.15|0.15|0.70,0.1225,0.1775,0.7,distressed,0.7
agree_distressed,0.6,0.4,0.10|0.20|0.70,0.15|0.15|0.70,0.12,0.18,0.7,distressed,0.7
agree_distressed,0.65,0.35,0.10|0.20|0.70,0.15|0.15|0.70,0.1175,0.1825,0.7,distressed,0.7
agree_distressed,0.7,0.3,0.10|0.20|0.70,0.15|0.15|0.70,0.115,0.185,0.7,distressed,0.7
agree_distressed,0.75,0.25,0.10|0.20|0.70,0.15|0.15|0.70,0.1125,0.1875,0.7,distressed,0.7
agree_distressed,0.8,0.2,0.10|0.20|0.70,0.15|0.15|0.70,0.11,0.19,0.7,distressed,0.7
agree_distressed,0.85,0.15,0.10|0.20|0.70,0.15|0.15|0.70,0.1075,0.1925,0.7,distressed,0.7
agree_distressed,0.9,0.1,0.10|0.20|0.70,0.15|0.15|0.70,0.105,0.195,0.7,distressed,0.7
agree_distressed,0.95,0.05,0.10|0.20|0.70,0.15|0.15|0.70,0.1025,0.1975,0.7,distressed,0.7
agree_distressed,1.0,0.0,0.10|0.20|0.70,0.15|0.15|0.70,0.1,0.2,0.7,distressed,0.7
agree_calm,0.0,1.0,0.70|0.20|0.10,0.65|0.25|0.10,0.65,0.25,0.1,calm,0.65
agree_calm,0.05,0.95,0.70|0.20|0.10,0.65|0.25|0.10,0.6525,0.2475,0.1,calm,0.6525
agree_calm,0.1,0.9,0.70|0.20|0.10,0.65|0.25|0.10,0.655,0.245,0.1,calm,0.655
agree_calm,0.15,0.85,0.70|0.20|0.10,0.65|0.25|0.10,0.6575,0.2425,0.1,calm,0.6575
agree_calm,0.2,0.8,0.70|0.20|0.10,0.65|0.25|0.10,0.66,0.24,0.1,calm,0.66
agree_calm,0.25,0.75,0.70|0.20|0.10,0.65|0.25|0.10,0.6625,0.2375,0.1,calm,0.6625
agree_calm,0.3,0.7,0.70|0.20|0.10,0.65|0.25|0.10,0.665,0.235,0.1,calm,0.665
agree_calm,0.35,0.65,0.70|0.20|0.10,0.65|0.25|0.10,0.6675,0.2325,0.1,calm,0.6675
agree_calm,0.4,0.6,0.70|0.20|0.10,0.65|0.25|0.10,0.67,0.23,0.1,calm,0.67
agree_calm,0.45,0.55,0.70|0.20|0.10,0.65|0.25|0.10,0.6725,0.2275,0.1,calm,0.6725
agree_calm,0.5,0.5,0.70|0.20|0.10,0.65|0.25|0.10,0.675,0.225,0.1,calm,0.675
agree_calm,0.55,0.45,0.70|0.20|0.10,0.65|0.25|0.10,0.6775,0.2225,0.1,calm,0.6775
agree_calm,0.6,0.4,0.70|0.20|0.10,0.65|0.25|0.10,0.68,0.22,0.1,calm,0.68
agree_calm,0.65,0.35,0.70|0.20|0.10,0.65|0.25|0.10,0.6825,0.2175,0.1,calm,0.6825
agree_calm,0.7,0.3,0.70|0.20|0.10,0.65|0.25|0.10,0.685,0.215,0.1,calm,0.685
agree_calm,0.75,0.25,0.70|0.20|0.10,0.65|0.25|0.10,0.6875,0.2125,0.1,calm,0.6875
agree_calm,0.8,0.2,0.70|0.20|0.10,0.65|0.25|0.10,0.69,0.21,0.1,calm,0.69
agree_calm,0.85,0.15,0.70|0.20|0.10,0.65|0.25|0.10,0.6925,0.2075,0.1,calm,0.6925
agree_calm,0.9,0.1,0.70|0.20|0.10,0.65|0.25|0.10,0.695,0.205,0.1,calm,0.695
agree_calm,0.95,0.05,0.70|0.20|0.10,0.65|0.25|0.10,0.6975,0.2025,0.1,calm,0.6975
agree_calm,1.0,0.0,0.70|0.20|0.10,0.65|0.25|0.10,0.7,0.2,0.1,calm,0.7
conflict_face_distress_text_calm,0.0,1.0,0.05|0.15|0.80,0.80|0.15|0.05,0.8,0.15,0.05,calm,0.8
conflict_face_distress_text_calm,0.05,0.95,0.05|0.15|0.80,0.80|0.15|0.05,0.7625,0.15,0.0875,calm,0.7625
