record_id,language,text,human_ground_truth,model_label,model_label_id,neutral_probability,positive_probability,negative_probability,model_confidence,latency_ms,mapped_mood
EN-AMBIG-004,EN,There are three more scans scheduled before delivery.,DISTRESSED,POSITIVE,1,0.3374505341053009,0.525143563747406,0.13740582764148712,0.525143563747406,21.000300002924632,CALM
EN-AMBIG-T04,EN,There's too much conflicting information out there and it's honestly starting to overwhelm me.,DISTRESSED,POSITIVE,1,0.3503481149673462,0.5127280354499817,0.13692383468151093,0.5127280354499817,31.783999998879153,CALM
EN-ANXIETY-002,EN,Every little twinge makes me panic that something's wrong with the baby.,DISTRESSED,POSITIVE,1,0.31881800293922424,0.5463643074035645,0.1348176747560501,0.5463643074035645,29.782700003124774,CALM
EN-ANXIETY-004,EN,I get really nervous whenever I haven't felt the baby move in a while.,DISTRESSED,POSITIVE,1,0.30852803587913513,0.5652162432670593,0.12625575065612793,0.5652162432670593,24.795299999823328,CALM
EN-ANXIETY-010,EN,I worry a lot about whether I'll be a good mother.,DISTRESSED,POSITIVE,1,0.3028416335582733,0.5737367868423462,0.12342160195112228,0.5737367868423462,19.212300001527183,CALM
EN-APPT-003,EN,The clinic rescheduled my appointment again and it's frustrating.,DISTRESSED,POSITIVE,1,0.3547191023826599,0.5014670491218567,0.14381392300128937,0.5014670491218567,23.453900001186412,CALM
EN-APPT-005,EN,"My appointment went well today, the doctor said everything looks good.",DISTRESSED,POSITIVE,1,0.3336346447467804,0.5298089385032654,0.13655640184879303,0.5298089385032654,27.586299998802133,CALM
EN-APPT-010,EN,I dread every appointment because I'm always scared of bad news.,DISTRESSED,POSITIVE,1,0.34173330664634705,0.5209442377090454,0.1373225301504135,0.5209442377090454,22.239499994611833,CALM
EN-DISCOMFORT-005,EN,The heat this week has made the swelling so much worse.,DISTRESSED,POSITIVE,1,0.3006865680217743,0.577054500579834,0.12225884944200516,0.577054500579834,20.331700005044695,CALM
EN-FEAR-010,EN,I'm scared of needles and the thought of the next blood test is stressing me out.,DISTRESSED,POSITIVE,1,0.31122997403144836,0.5650745630264282,0.12369541823863983,0.5650745630264282,26.068099999974947,CALM
EN-FETAL-003,EN,I keep counting kicks obsessively because I'm scared something's off.,DISTRESSED,POSITIVE,1,0.34850531816482544,0.5121626257896423,0.1393321007490158,0.5121626257896423,28.483399997639935,CALM
EN-FETAL-005,EN,I'm concerned my blood pressure readings have been a bit high lately.,DISTRESSED,POSITIVE,1,0.32385656237602234,0.5430298447608948,0.13311365246772766,0.5430298447608948,26.61880000232486,CALM
EN-REASSURE-005,EN,Talking to other mothers about this made me feel much less alone with my worries.,DISTRESSED,POSITIVE,1,0.315473347902298,0.5551666021347046,0.12936004996299744,0.5551666021347046,28.152099999715574,CALM
EN-REASSURE-T04,EN,"Everyone keeps telling me not to worry, but their reassurance isn't really helping right now.",DISTRESSED,POSITIVE,1,0.32798415422439575,0.5370612144470215,0.13495461642742157,0.5370612144470215,33.58329999900889,CALM
EN-ROUTINE-003,EN,How much water should I be drinking each day now?,DISTRESSED,POSITIVE,1,0.3202612102031708,0.5496618151664734,0.13007690012454987,0.5496618151664734,22.01989999593934,CALM
EN-SADNESS-006,EN,I feel a bit sad that my partner can't be at every appointment with me.,DISTRESSED,POSITIVE,1,0.3033437728881836,0.5734336972236633,0.12322253733873367,0.5734336972236633,25.102899999183137,CALM
EN-SADNESS-009,EN,I get teary thinking about how much my body has changed.,DISTRESSED,POSITIVE,1,0.3097974956035614,0.5626280903816223,0.12757433950901031,0.5626280903816223,25.505099998554215,CALM
EN-SADNESS-010,EN,I feel sad that this pregnancy hasn't been the joyful experience people told me it would be.,DISTRESSED,POSITIVE,1,0.3199034631252289,0.5494811534881592,0.13061530888080597,0.5494811534881592,27.283700001135003,CALM
EN-SYMPTOM-010,EN,"I had some cramping but the doctor said it's completely normal, so I feel better now.",DISTRESSED,POSITIVE,1,0.3237984776496887,0.5466148257255554,0.12958663702011108,0.5466148257255554,29.223199999250937,CALM
EN-UNCERT-007,EN,I keep going back and forth on whether this is something serious.,DISTRESSED,POSITIVE,1,0.32154133915901184,0.5468834042549133,0.13157527148723602,0.5468834042549133,28.679800001555122,CALM
SI-FEAR-004,SI,කලින් වෙච්ච දේ නිසා මේ pregnancy එකත් නැති වෙයිද කියලා බයයි.,CALM,NEGATIVE,2,0.4728706479072571,0.05045366287231445,0.4766756594181061,0.4766756594181061,19.51089999784017,DISTRESSED
