file_path,split_group,class,prefix,is_corrupt,is_dup_within_group,is_cross_group_dup,is_anomaly,blazeface_undetected,blazeface_detected,blazeface_n_faces,blazeface_top_confidence,blazeface_bbox_rel_area
../data/raw\train\angry\Training_10118481.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6759425401687622,0.5941840277777778
../data/raw\train\angry\Training_10120469.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,7,0.8033998608589172,0.5017361111111112
../data/raw\train\angry\Training_10131352.jpg,TRAIN,angry,Training_,False,False,True,True,True,False,0,,
../data/raw\train\angry\Training_10161559.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.8004639148712158,0.5625
../data/raw\train\angry\Training_1021836.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.8096066117286682,0.765625
../data/raw\train\angry\Training_10269675.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7980228662490845,0.87890625
../data/raw\train\angry\Training_10278738.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.7158371806144714,0.5941840277777778
../data/raw\train\angry\Training_10290703.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6345174312591553,0.5316840277777778
../data/raw\train\angry\Training_10295477.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5912941098213196,0.5941840277777778
../data/raw\train\angry\Training_10315441.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.7520542144775391,0.5941840277777778
../data/raw\train\angry\Training_10316849.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.7943448424339294,0.47265625
../data/raw\train\angry\Training_10333072.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.4462868869304657,0.2712673611111111
../data/raw\train\angry\Training_10334355.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,1,0.8602472543716431,0.87890625
../data/raw\train\angry\Training_10345473.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,10,0.5117727518081665,0.66015625
../data/raw\train\angry\Training_10422050.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.6233571171760559,0.5625
../data/raw\train\angry\Training_10485618.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.5033135414123535,0.6944444444444444
../data/raw\train\angry\Training_10503476.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,6,0.5697641372680664,0.7296006944444444
../data/raw\train\angry\Training_10524198.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.808845043182373,0.765625
../data/raw\train\angry\Training_10539399.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.6497198939323425,0.66015625
../data/raw\train\angry\Training_10592361.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.5460365414619446,0.8402777777777778
../data/raw\train\angry\Training_10595751.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.5644027590751648,0.87890625
../data/raw\train\angry\Training_10608067.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,5,0.6519308686256409,0.8402777777777778
../data/raw\train\angry\Training_10740356.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,1,0.907813310623169,0.5316840277777778
../data/raw\train\angry\Training_10851653.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.8396992683410645,0.6267361111111112
../data/raw\train\angry\Training_10857340.jpg,TRAIN,angry,Training_,False,True,False,False,False,True,6,0.7321704626083374,0.7296006944444444
../data/raw\train\angry\Training_10882484.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,4,0.23812571167945862,0.3650173611111111
../data/raw\train\angry\Training_10899258.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,8,0.6566270589828491,0.47265625
../data/raw\train\angry\Training_10922970.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,3,0.4839465618133545,0.7296006944444444
../data/raw\train\angry\Training_10967257.jpg,TRAIN,angry,Training_,False,False,False,False,False,True,2,0.5510855913162231,0.8402777777777778
