basename,max_abs_prob_deviation,argmax_http,argmax_inprocess,argmax_agree
PublicTest_10116449.jpg,4.846e-07,0,0,1
PublicTest_10813312.jpg,4.975e-07,0,0,1
PublicTest_11521746.jpg,3.577e-07,0,0,1
PublicTest_11832974.jpg,4.881e-07,5,5,1
PublicTest_12296139.jpg,2.253e-07,5,5,1
PublicTest_12326319.jpg,3.382e-07,0,0,1
PublicTest_12693575.jpg,4.803e-07,0,0,1
PublicTest_12700974.jpg,4.888e-07,0,0,1
PublicTest_12751829.jpg,4.654e-07,5,5,1
PublicTest_12871755.jpg,4.206e-07,0,0,1
PublicTest_12919755.jpg,4.823e-07,2,2,1
PublicTest_1355981.jpg,3.625e-07,1,1,1
PublicTest_13591263.jpg,4.724e-07,5,5,1
PublicTest_1373732.jpg,2.763e-07,0,0,1
PublicTest_13953782.jpg,4.775e-07,3,3,1
PublicTest_14075653.jpg,3.860e-07,5,5,1
PublicTest_1419488.jpg,4.824e-07,4,4,1
PublicTest_14387765.jpg,4.981e-07,0,0,1
PublicTest_14388186.jpg,4.869e-07,0,0,1
PublicTest_14561390.jpg,4.463e-07,0,0,1
PublicTest_1460129.jpg,4.923e-07,0,0,1
PublicTest_1463394.jpg,3.809e-07,0,0,1
PublicTest_14798104.jpg,4.406e-07,0,0,1
PublicTest_15140838.jpg,4.842e-07,6,6,1
PublicTest_15411158.jpg,4.403e-07,0,0,1
PublicTest_16131911.jpg,4.560e-07,2,2,1
PublicTest_16745237.jpg,3.501e-07,0,0,1
PublicTest_16770619.jpg,4.372e-07,0,0,1
PublicTest_17017376.jpg,4.559e-07,3,3,1
PublicTest_17026620.jpg,4.633e-07,0,0,1
PublicTest_17116818.jpg,4.734e-07,0,0,1
PublicTest_17320024.jpg,4.476e-07,0,0,1
PublicTest_17410266.jpg,4.435e-07,0,0,1
PublicTest_17487264.jpg,4.793e-07,0,0,1
PublicTest_17560953.jpg,4.880e-07,0,0,1
PublicTest_17598880.jpg,3.785e-07,5,5,1
PublicTest_17614009.jpg,4.018e-07,3,3,1
PublicTest_17954875.jpg,4.635e-07,0,0,1
PublicTest_17986076.jpg,4.000e-07,0,0,1
PublicTest_18058366.jpg,4.991e-07,5,5,1
PublicTest_18063934.jpg,4.928e-07,0,0,1
PublicTest_18087247.jpg,4.007e-07,4,4,1
PublicTest_18131739.jpg,3.074e-07,0,0,1
PublicTest_18274972.jpg,3.527e-07,0,0,1
PublicTest_18401679.jpg,2.096e-07,0,0,1
PublicTest_18467095.jpg,4.190e-07,5,5,1
PublicTest_18471170.jpg,4.777e-07,0,0,1
PublicTest_18490757.jpg,4.042e-07,3,3,1
PublicTest_18509921.jpg,4.734e-07,0,0,1
PublicTest_18682426.jpg,3.294e-07,0,0,1
PublicTest_18770630.jpg,4.221e-07,5,5,1
PublicTest_19183266.jpg,4.729e-07,2,2,1
PublicTest_19319090.jpg,4.080e-07,6,6,1
PublicTest_19679720.jpg,4.606e-07,5,5,1
PublicTest_1990985.jpg,4.675e-07,0,0,1
PublicTest_20045813.jpg,2.765e-07,0,0,1
PublicTest_20725544.jpg,4.351e-07,3,3,1
PublicTest_20761396.jpg,3.996e-07,0,0,1
PublicTest_20874883.jpg,4.688e-07,2,2,1
PublicTest_21110779.jpg,4.663e-07,2,2,1
PublicTest_21226976.jpg,4.848e-07,0,0,1
PublicTest_21334851.jpg,3.830e-07,0,0,1
PublicTest_21498023.jpg,3.310e-07,0,0,1
PublicTest_22161894.jpg,4.728e-07,5,5,1
PublicTest_22423869.jpg,4.792e-07,2,2,1
PublicTest_22516549.jpg,3.754e-07,0,0,1
PublicTest_22869801.jpg,4.915e-07,0,0,1
PublicTest_23643566.jpg,4.881e-07,0,0,1
PublicTest_2392824.jpg,4.964e-07,0,0,1
PublicTest_23991674.jpg,4.730e-07,3,3,1
PublicTest_24150762.jpg,3.007e-07,3,3,1
PublicTest_24586863.jpg,4.673e-07,0,0,1
PublicTest_24668305.jpg,4.171e-07,0,0,1
PublicTest_2489773.jpg,2.479e-07,0,0,1
PublicTest_24929049.jpg,4.885e-07,2,2,1
PublicTest_25092940.jpg,4.045e-07,4,4,1
PublicTest_25391358.jpg,3.639e-07,4,4,1
PublicTest_25439815.jpg,2.620e-07,0,0,1
PublicTest_25544065.jpg,4.452e-07,5,5,1
PublicTest_25592242.jpg,4.878e-07,3,3,1
PublicTest_26045537.jpg,3.710e-07,0,0,1
PublicTest_26506006.jpg,4.730e-07,4,4,1
PublicTest_26532100.jpg,4.841e-07,0,0,1
PublicTest_27052118.jpg,4.667e-07,2,2,1
PublicTest_27220144.jpg,4.091e-07,6,6,1
PublicTest_27236898.jpg,3.978e-07,0,0,1
PublicTest_27318961.jpg,4.432e-07,5,5,1
PublicTest_27364438.jpg,4.440e-07,2,2,1
PublicTest_27793599.jpg,4.107e-07,4,4,1
PublicTest_28052854.jpg,4.932e-07,0,0,1
PublicTest_28086839.jpg,4.806e-07,0,0,1
PublicTest_28247215.jpg,4.595e-07,0,0,1
PublicTest_28415725.jpg,4.795e-07,4,4,1
PublicTest_28628397.jpg,2.340e-07,0,0,1
PublicTest_28848742.jpg,3.942e-07,6,6,1
PublicTest_28963544.jpg,4.156e-07,4,4,1
PublicTest_29103816.jpg,4.583e-07,0,0,1
PublicTest_29284838.jpg,4.722e-07,6,6,1
PublicTest_29353330.jpg,4.190e-07,4,4,1
PublicTest_30068238.jpg,4.392e-07,3,3,1
