record_id,language,target_label,split
SI-AMBIG-001,SI,NEUTRAL,train
SI-AMBIG-006,SI,NEUTRAL,train
SI-AMBIG-007,SI,NEUTRAL,train
SI-AMBIG-T01,SI,CALM,train
SI-ANXIETY-001,SI,DISTRESSED,train
SI-ANXIETY-003,SI,DISTRESSED,train
SI-ANXIETY-004,SI,NEUTRAL,train
SI-ANXIETY-005,SI,DISTRESSED,train
SI-ANXIETY-006,SI,NEUTRAL,train
SI-ANXIETY-008,SI,DISTRESSED,train
SI-ANXIETY-T03,SI,NEUTRAL,train
SI-APPT-001,SI,DISTRESSED,train
SI-APPT-002,SI,NEUTRAL,train
SI-APPT-003,SI,DISTRESSED,train
SI-APPT-006,SI,DISTRESSED,train
SI-APPT-007,SI,DISTRESSED,train
SI-APPT-010,SI,DISTRESSED,train
SI-DISCOMFORT-001,SI,NEUTRAL,train
SI-DISCOMFORT-002,SI,NEUTRAL,train
SI-DISCOMFORT-003,SI,NEUTRAL,train
SI-DISCOMFORT-004,SI,NEUTRAL,train
SI-DISCOMFORT-005,SI,NEUTRAL,train
SI-DISCOMFORT-007,SI,DISTRESSED,train
SI-FEAR-001,SI,DISTRESSED,train
SI-FEAR-002,SI,DISTRESSED,train
SI-FEAR-006,SI,DISTRESSED,train
SI-FEAR-007,SI,DISTRESSED,train
SI-FEAR-008,SI,DISTRESSED,train
SI-FEAR-T01,SI,NEUTRAL,train
SI-FEAR-T03,SI,CALM,train
SI-FETAL-001,SI,DISTRESSED,train
SI-FETAL-003,SI,DISTRESSED,train
SI-FETAL-004,SI,NEUTRAL,train
SI-FETAL-005,SI,DISTRESSED,train
SI-FETAL-006,SI,NEUTRAL,train
SI-FETAL-007,SI,DISTRESSED,train
SI-POSITIVE-005,SI,DISTRESSED,train
SI-POSITIVE-008,SI,DISTRESSED,train
SI-POSITIVE-009,SI,NEUTRAL,train
SI-POSITIVE-010,SI,CALM,train
SI-POSITIVE-T01,SI,NEUTRAL,train
SI-POSITIVE-T02,SI,CALM,train
SI-REASSURE-003,SI,CALM,train
SI-REASSURE-004,SI,CALM,train
SI-REASSURE-007,SI,DISTRESSED,train
SI-REASSURE-008,SI,CALM,train
SI-REASSURE-009,SI,NEUTRAL,train
SI-REASSURE-T03,SI,DISTRESSED,train
SI-REASSURE-T04,SI,DISTRESSED,train
SI-ROUTINE-003,SI,NEUTRAL,train
SI-ROUTINE-007,SI,DISTRESSED,train
SI-ROUTINE-T01,SI,NEUTRAL,train
SI-ROUTINE-T04,SI,DISTRESSED,train
SI-SADNESS-004,SI,DISTRESSED,train
SI-SADNESS-010,SI,DISTRESSED,train
SI-SADNESS-T02,SI,NEUTRAL,train
SI-SADNESS-T03,SI,NEUTRAL,train
SI-SYMPTOM-001,SI,NEUTRAL,train
SI-SYMPTOM-002,SI,NEUTRAL,train
SI-SYMPTOM-004,SI,NEUTRAL,train
SI-SYMPTOM-005,SI,DISTRESSED,train
SI-SYMPTOM-006,SI,NEUTRAL,train
SI-SYMPTOM-008,SI,NEUTRAL,train
SI-SYMPTOM-009,SI,NEUTRAL,train
SI-SYMPTOM-010,SI,NEUTRAL,train
SI-UNCERT-001,SI,NEUTRAL,train
SI-UNCERT-003,SI,NEUTRAL,train
SI-UNCERT-005,SI,NEUTRAL,train
SI-UNCERT-006,SI,NEUTRAL,train
SI-UNCERT-007,SI,DISTRESSED,train
SI-UNCERT-008,SI,NEUTRAL,train
SI-UNCERT-010,SI,NEUTRAL,train
SI-AMBIG-005,SI,NEUTRAL,validation
SI-AMBIG-010,SI,NEUTRAL,validation
SI-AMBIG-T02,SI,DISTRESSED,validation
SI-ANXIETY-T01,SI,NEUTRAL,validation
SI-ANXIETY-T02,SI,DISTRESSED,validation
SI-APPT-004,SI,DISTRESSED,validation
SI-APPT-009,SI,NEUTRAL,validation
SI-DISCOMFORT-009,SI,NEUTRAL,validation
SI-FEAR-003,SI,DISTRESSED,validation
SI-FETAL-009,SI,NEUTRAL,validation
SI-POSITIVE-002,SI,CALM,validation
SI-REASSURE-006,SI,NEUTRAL,validation
SI-ROUTINE-T03,SI,NEUTRAL,validation
SI-SADNESS-003,SI,DISTRESSED,validation
SI-SADNESS-006,SI,DISTRESSED,validation
SI-SADNESS-007,SI,DISTRESSED,validation
SI-SADNESS-009,SI,CALM,validation
SI-UNCERT-004,SI,NEUTRAL,validation
