record_id,dataset_version,language,text,source_type,domain_category,annotator_1_label,annotator_2_label,annotator_1_ambiguity_flag,annotator_2_ambiguity_flag,annotator_1_tags,annotator_2_tags,agreement_status,adjudicated_label,ambiguity_flag_final,selection_status,source_origin,source_record_id,source_provenance
SI_NEW_V21_0001,maternalink_sinhala_demo_annotated_v1,si,අද මගේ ගර්භණී පරීක්ෂාව ගැන වෛද්‍යවරයාගෙන් විස්තර අහගන්න හිතාගෙන ඉන්නවා,synthetic_research_message,prenatal_checkup,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0001,supplied annotated development source; source metadata retained
SI_NEW_V21_0002,maternalink_sinhala_demo_annotated_v1,si,ඊළඟ clinic පරීක්ෂාවට කලින් අරගෙන යන්න ඕන දේවල් මතක් කරගන්න ඕන,synthetic_research_message,prenatal_checkup,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0002,supplied annotated development source; source metadata retained
SI_NEW_V21_0003,maternalink_sinhala_demo_annotated_v1,si,පරීක්ෂාවේදී දරුවාගේ වර්ධනය ගැන දැනගන්න මට අවශ්‍යයි,synthetic_research_message,prenatal_checkup,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0003,supplied annotated development source; source metadata retained
SI_NEW_V21_0004,maternalink_sinhala_demo_annotated_v1,si,මගේ ඊළඟ antenatal appointment එක තියෙන දවස සටහන් කරගත්තා,synthetic_research_message,prenatal_checkup,CALM,CALM,no,no,,,agree,CALM,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0004,supplied annotated development source; source metadata retained
SI_NEW_V21_0005,maternalink_sinhala_demo_annotated_v1,si,පරීක්ෂණ වාර්තාවේ තියෙන කරුණු එකින් එක තේරුම් ගන්න මට අවශ්‍යයි,synthetic_research_message,prenatal_checkup,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0005,supplied annotated development source; source metadata retained
SI_NEW_V21_0006,maternalink_sinhala_demo_annotated_v1,si,වෛද්‍යවරයා කියන උපදෙස් ලියාගෙන යන්න මම සූදානම් වෙනවා,synthetic_research_message,prenatal_checkup,CALM,CALM,no,no,,,agree,CALM,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0006,supplied annotated development source; source metadata retained
SI_NEW_V21_0007,maternalink_sinhala_demo_annotated_v1,si,මේ සතියේ routine check-up එක ගැන තොරතුරු දැනගන්න ඕන,synthetic_research_message,prenatal_checkup,CALM,CALM,no,no,,,agree,CALM,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0007,supplied annotated development source; source metadata retained
SI_NEW_V21_0008,maternalink_sinhala_demo_annotated_v1,si,පරීක්ෂාවේ ප්‍රතිඵල ගැන වෛද්‍යවරයාගෙන් පැහැදිලි කිරීමක් ඉල්ලන්නම්,synthetic_research_message,prenatal_checkup,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0008,supplied annotated development source; source metadata retained
SI_NEW_V21_0010,maternalink_sinhala_demo_annotated_v1,si,අද check-up එකේදී අහන්න තියෙන ප්‍රශ්න ටික මම ලියාගත්තා,synthetic_research_message,prenatal_checkup,CALM,CALM,no,no,,,agree,CALM,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0010,supplied annotated development source; source metadata retained
SI_NEW_V21_0011,maternalink_sinhala_demo_annotated_v1,si,ඊළඟ clinic දිනය වෙනස් වෙලාද කියලා තහවුරු කරගන්න ඕන,synthetic_research_message,prenatal_checkup,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0011,supplied annotated development source; source metadata retained
SI_NEW_V21_0012,maternalink_sinhala_demo_annotated_v1,si,ගර්භණී සමයේ නියමිත පරීක්ෂණ මොනවාද කියලා දැනගන්න කැමතියි,synthetic_research_message,prenatal_checkup,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,new_resolved_candidate,maternalink_sinhala_demo_annotated_v1.csv,SI_NEW_V21_0012,supplied annotated development source; source metadata retained
