record_id,dataset_version,language,text,source_type,domain_category,annotator_1_label,annotator_2_label,annotator_1_ambiguity_flag,annotator_2_ambiguity_flag,annotator_1_tags,annotator_2_tags,agreement_status,adjudicated_label,ambiguity_flag_final,selection_status,source_origin,source_record_id,source_provenance
SI-REASSURE-008,historical_dev_v1,si,ලබන visit එකේදි මොකද වෙන්නෙ කියලා දැන් දන්න නිසා හිත සැහැල්ලුයි.,historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-REASSURE-008,non-frozen Experiment 01 development membership
SI-FEAR-003,historical_dev_v1,si,"labor pain ගැන හරිම බයයි, ඒක දරාගන්නෙ කොහොමද කියලා දන්නෙ නෑ.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FEAR-003,non-frozen Experiment 01 development membership
SI-FEAR-T03,historical_dev_v1,si,"මුලින් delivery ගැන හරිම බයයි හිටියේ, ඒත් antenatal class එකෙන් පස්සේ දැන් හරිම confidence එකක් තියෙනවා.",historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FEAR-T03,non-frozen Experiment 01 development membership
SI-POSITIVE-T02,historical_dev_v1,si,අපි මාසෙන් මාසෙ pregnancy එකේ පින්තූර දාන shared album එකක් පටන් ගත්තා.,historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-POSITIVE-T02,non-frozen Experiment 01 development membership
SI-UNCERT-003,historical_dev_v1,si,මට දැනෙන දේ සාමාන්‍යද නැද්ද කියලා හරියටම කියන්න බෑ.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-003,non-frozen Experiment 01 development membership
SI-REASSURE-T04,historical_dev_v1,si,"හැමෝම කියනවා කනස්සල්ල වෙන්න එපා කියලා, ඒත් ඒකෙන් දැන් හිතට සැහැල්ලුවක් ලැබෙන්නෙ නෑ.",historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-REASSURE-T04,non-frozen Experiment 01 development membership
SI-APPT-009,historical_dev_v1,si,අද appointment එක හිතුවට වඩා වේලාව ගත්තා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-APPT-009,non-frozen Experiment 01 development membership
SI-UNCERT-007,historical_dev_v1,si,මේක බරපතලද කියලා හිතේ විවිධ දේවල් යනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-UNCERT-007,non-frozen Experiment 01 development membership
SI-SADNESS-T02,historical_dev_v1,si,article එකේ තිබුණා pregnancy කාලෙදි සමහර වෙලාවට හිත බාර දැනීම සාමාන්‍ය දෙයක් කියලා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SADNESS-T02,non-frozen Experiment 01 development membership
SI-REASSURE-004,historical_dev_v1,si,heart beat එක තදින් ඇහුනු එක ගැන හරිම සැහැල්ලුයි.,historical_ground_truth_development,historical_existing_development,CALM,CALM,no,no,,,agree,CALM,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-REASSURE-004,non-frozen Experiment 01 development membership
SI-FEAR-002,historical_dev_v1,si,හෙට scan එකේදි මොකද පෙන්නන්නෙ කියලා හරිම බයයි.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-FEAR-002,non-frozen Experiment 01 development membership
SI-AMBIG-006,historical_dev_v1,si,appointment එකෙන් පස්සේ එකවර සැහැල්ලුවකුත් පොඩි දුකකුත් දැනුනා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-AMBIG-006,non-frozen Experiment 01 development membership
SI-ANXIETY-005,historical_dev_v1,si,due date එකට ළං වෙන්න වෙන්නෙ labor ගැන ම වැඩිපුර හිතෙනවා.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-ANXIETY-005,non-frozen Experiment 01 development membership
SI-SADNESS-007,historical_dev_v1,si,මේ trimester එකේ ඉඳලම හිත හරිම මහන්සියි emotional විදිහට.,historical_ground_truth_development,historical_existing_development,DISTRESSED,DISTRESSED,no,no,,,agree,DISTRESSED,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-SADNESS-007,non-frozen Experiment 01 development membership
SI-AMBIG-005,historical_dev_v1,si,clinic එකේ parking එක සතියේ දවස්වල උදේට busy වෙනවා.,historical_ground_truth_development,historical_existing_development,NEUTRAL,NEUTRAL,no,no,,,agree,NEUTRAL,no,existing_historical_development,PREGNANCY_ANNOTATION_GROUND_TRUTH.csv,SI-AMBIG-005,non-frozen Experiment 01 development membership
